Time,Lusenda,
0,0,0
1,202,78
2,412,156
3,634,233
4,893,312
5,1152,390
6,1450,467
7,1733,546
8,2059,624
9,2393,702
10,2745,780
11,3112,858
12,3502,935
13,3881,1014
14,4292,1092
15,4739,1170
16,5216,1248
17,5716,1326
18,6222,1404
19,6700,1482
20,7214,1560
21,7737,1638
22,8314,1716
23,8861,1794
24,9425,1871
25,9847,1950
26,10288,2028
27,10697,2106
28,11093,2184
29,11484,2262
30,11830,2340
31,14076,2418
32,14376,2496
33,15061,2574
34,15630,2652
35,16158,2730
36,16633,2808
37,17105,2886
38,17529,2964
39,17943,3042
40,18336,3120
41,19017,3198
42,19621,3276
43,20320,3354
44,21040,3432
45,21495,3510
46,21987,3588
47,22448,3666
48,22917,3743
49,23313,3822
50,23684,3900
51,24049,3977
52,24408,4056
53,24765,4134
54,26505,4212
55,26859,4290
56,27524,4368
57,28073,4446
58,28564,4524
59,29028,4602
60,30443,4680
61,30862,4758
62,31428,4836
63,32261,4914
64,33085,4992
65,33962,5070
66,34544,5148
67,35232,5226
68,35920,5304
69,36634,5382
70,37175,5460
71,37734,5538
72,38416,5616
73,38988,5694
74,39522,5772
75,40087,5850
76,40669,5928
77,41220,6006
78,41689,6084
79,42153,6162
80,42603,6240
81,43024,6318
82,43500,6396
83,44021,6474
84,44552,6552
85,44966,6630
86,45472,6708
87,45967,6786
88,46457,6864
89,46983,6942
90,47563,7020
91,48059,7098
92,48492,7176
93,49065,7254
94,49742,7332
95,50376,7208
96,50844,7084
97,51382,6960
98,51891,6837
99,52417,6713
100,52927,6589
101,53432,6465
102,53848,6342
103,54337,6218
104,54766,6094
105,55141,5970
106,55538,5847
107,55915,5723
108,56304,5599
109,56694,5475
110,57098,5352
111,57503,5228
112,57900,5104
113,58329,4980
114,58724,4857
115,59149,4733
116,59580,4609
117,59994,4485
118,60369,4362
119,60792,4238
120,61143,4114
121,61506,3990
122,61822,3867
123,62156,3743
124,62464,3619
125,62779,3496
126,63112,3372
127,63409,3248
128,63734,3124
129,64050,3001
130,64339,2877
131,64637,2753
132,64910,2629
133,65208,2506
134,65483,2382
135,65800,2258
136,66063,2134
137,66341,2011
138,66594,1887
139,66823,1763
140,67075,1639
141,67340,1516
142,67585,1392
143,67815,1268
144,68056,1144
145,68276,1021
146,68456,897
147,68662,773
148,68857,649
149,69048,526
150,69238,402
151,69434,278
152,69596,155
153,69969,488
154,70346,822
155,70590,1156
156,70856,1490
157,71169,1824
158,71442,2158
159,71724,2492
160,72024,2826
161,72378,3160
162,72728,3494
163,73104,3827
164,73516,4161
165,73850,4495
166,74126,4829
167,74421,5163
168,74689,5497
169,74975,5831
170,75216,6165
171,75483,6499
172,75715,6833
173,75966,7166
174,76208,7500
175,76404,7834
176,76609,8168
177,76861,8502
178,77066,8836
179,77250,9170
180,77610,9504
181,78027,9838
182,78477,10172
183,78988,10506
184,79391,10538
185,79721,10570
186,80018,10603
187,80328,10635
188,80624,10668
189,80911,10700
190,81144,10733
191,81427,10765
192,81748,10798
193,82125,10830
194,82487,10863
195,82728,10895
196,82978,10928
197,83211,10960
198,83476,10993
199,83685,11025
200,83908,11058
201,84173,11090
202,84458,11123
203,84698,11155
204,84921,11188
205,85118,11220
206,85332,11252
207,85531,11285
208,85707,11317
209,85932,11350
210,86141,11382
211,86312,11415
212,86526,11447
213,86740,11480
214,86992,11512
215,87213,11545
216,87386,11577
217,87585,11610
218,87754,11642
219,87971,11675
220,88181,11707
221,88362,11740
222,88535,11772
223,88739,11805
224,88915,11837
225,89158,11870
226,89317,11902
227,89515,11934
228,89699,11967
229,89911,11999
230,90109,12032
231,90328,12064
232,90538,12097
233,90724,12129
234,90889,12162
235,91100,12194
236,91265,12227
237,91457,12259
238,91674,12292
239,91841,12324
240,92017,12357
241,92204,12389
242,92383,12422
243,92556,12454
244,92738,12487
245,92866,12519
246,93038,12552
247,93158,12584
248,93301,12617
249,93453,12649
250,93630,12681
251,93798,12714
252,93983,12746
253,94129,12779
254,94270,12811
255,94427,12844
256,94584,12876
257,94721,12909
258,94860,12941
259,95011,12974
260,95156,13006
261,95303,13039
262,95426,13071
263,95546,13104
264,95676,13136
265,95828,13169
266,95951,13201
267,96096,13234
268,96257,13266
269,96357,13299
270,96508,13331
271,96641,13363
272,96763,13396
273,96912,13428
274,97041,13461
275,97190,13493
276,97331,13526
277,97483,13558
278,97628,13591
279,97753,13623
280,97886,13656
281,98051,13688
282,98171,13721
283,98273,13753
284,98390,13786
285,98537,13818
286,98644,13851
287,98775,13883
288,98880,13916
289,98966,13948
290,99070,13981
291,99156,14013
292,99293,14046
293,99507,14167
294,99645,14288
295,99823,14409
296,99941,14530
297,100106,14651
298,100283,14772
299,100427,14805
300,100591,14839
301,100740,14873
302,100892,14907
303,101020,14941
304,101130,14975
305,101244,15009
306,101339,15043
307,101435,15077
308,101557,15111
309,101623,15145
310,101710,15179
311,101832,15213
312,101997,15247
313,102126,15281
314,102271,15315
315,102391,15355
316,102518,15396
317,102623,15436
318,102732,15477
319,102853,15517
320,103019,15558
321,103140,15598
322,103262,15639
323,103416,15679
324,103492,15720
325,103615,15760
326,103720,15801
327,103819,15841
328,103941,15882
329,104038,15922
330,104153,15963
331,104252,16004
332,104329,16030
333,104403,16057
334,104491,16084
335,104602,16111
336,104706,16137
337,104812,16164
338,104909,16191
339,105031,16218
340,105142,16245
341,105225,16271
342,105321,16298
343,105424,16325
344,105522,16352
345,105631,16379
346,105719,16405
347,105803,16432
348,105910,16459
349,105971,16486
350,106070,16513
351,106185,16539
352,106266,16566
353,106310,16593
354,106412,16620
355,106509,16647
356,106623,16673
357,106690,16700
358,106765,16727
359,106855,16754
360,106932,16781
361,106998,16807
362,107052,16834
363,107133,16861
364,107216,16888
365,107311,16915
366,107427,16924
367,107497,16934
368,107571,16943
369,107664,16953
370,107742,16962
371,107832,16972
372,107882,16981
373,107963,16991
374,108054,17000
375,108129,17010
376,108231,17019
377,108285,17029
378,108343,17038
379,108417,17048
380,108464,17057
381,108539,17067
382,108612,17076
383,108699,17086
384,108796,17095
385,108872,17105
386,108962,17114
387,109019,17124
388,109087,17133
389,109166,17143
390,109226,17152
391,109278,17162
392,109353,17171
393,109414,17181
394,109473,17190
395,109530,17200
TEST,FAILED.,
TEST,FAILED.,
